iter	Logloss
0	0.6555476582
5	0.511672256
10	0.4234536249
15	0.368958414
20	0.3340520938
25	0.3110174539
30	0.2954237896
35	0.2850089752
40	0.2775079914
45	0.2718215878
50	0.2678763901
55	0.2648373152
60	0.2624393079
65	0.2606597297
70	0.2591236366
75	0.2579897788
80	0.2570297309
85	0.2562125681
90	0.2555874971
95	0.2550273828
100	0.2544977
105	0.2540930479
110	0.2537158352
115	0.2533781455
120	0.2530686187
125	0.2528099589
130	0.2525430461
135	0.252229705
140	0.2520212219
145	0.2517991918
150	0.2516564875
155	0.2515092128
160	0.2513086541
165	0.2511112191
170	0.2510009192
175	0.2508742281
180	0.2507373602
185	0.250627159
190	0.2504877428
195	0.2503104476
200	0.2501741058
205	0.2500616686
210	0.2499117141
215	0.2497901688
220	0.2497049079
225	0.2495640286
230	0.2494626888
235	0.2493335151
240	0.2492301039
245	0.2491219248
250	0.249048271
255	0.2489718058
260	0.2488915922
265	0.2487403553
270	0.2486446711
275	0.2485513872
280	0.2484894555
285	0.2484104421
290	0.2483649674
295	0.2482826165
300	0.2481670557
305	0.2480983011
310	0.2480406769
315	0.2479384658
320	0.2478299415
325	0.2477619268
330	0.247711635
335	0.2476431107
340	0.2475772333
345	0.2475158277
350	0.2474120547
355	0.2472982859
360	0.2472420591
365	0.2471147267
370	0.247038426
375	0.24699693
380	0.2469613854
385	0.2468377522
390	0.2467464741
395	0.2466850356
400	0.2466327052
405	0.2465667127
410	0.2464947523
415	0.2464333138
420	0.2463613863
425	0.2463096149
430	0.2462413864
435	0.24614659
440	0.246069944
445	0.2460287275
450	0.2459401292
455	0.2458849875
460	0.2458554602
465	0.2457973756
470	0.2457483333
475	0.2456617408
480	0.2455992665
485	0.2455546304
490	0.2455228343
495	0.2454798586
500	0.2453860322
505	0.2453533318
510	0.2453331921
515	0.2452692382
520	0.2452382642
525	0.2452055639
530	0.2451320416
535	0.2450911538
540	0.2450503647
545	0.2450097236
550	0.2449328639
555	0.2448699129
560	0.2448144424
565	0.2447573771
570	0.2447181005
575	0.244668861
580	0.2446295844
585	0.2445616848
590	0.2445207149
595	0.2444898723
600	0.2444398272
605	0.2443987915
610	0.2443451788
615	0.2443231813
620	0.2442542459
625	0.2441752489
630	0.2441311552
635	0.2440639132
640	0.2440349285
645	0.2440093634
650	0.2439350355
655	0.2439132517
660	0.24388453
665	0.2438207405
670	0.2437640205
675	0.2437304489
680	0.2436495612
685	0.2436235522
690	0.2435806423
695	0.243550819
700	0.2435173789
705	0.2434781352
710	0.2434521591
715	0.243430885
720	0.2434034621
725	0.2433601576
730	0.2433137294
735	0.2432642432
740	0.2431963765
745	0.243152102
750	0.2431157025
755	0.2430675645
760	0.2430322337
765	0.2429980866
770	0.242939032
775	0.2429016297
780	0.2428706556
785	0.242845222
790	0.2428217284
795	0.2427865949
800	0.2427570018
805	0.2427057072
810	0.2426577994
815	0.2426308039
820	0.2426073103
825	0.2425726043
830	0.2425268501
835	0.2425043101
840	0.2424786792
845	0.2424528017
850	0.2424073435
855	0.2423637595
860	0.2423427649
865	0.242307319
870	0.2422621074
875	0.2422328103
880	0.2422103853
885	0.2421830117
890	0.2421293003
895	0.242105034
900	0.2420516843
905	0.2420140683
910	0.2419704021
915	0.2419226915
920	0.2418691938
925	0.241847558
930	0.2417967237
935	0.2417677061
940	0.2417440974
945	0.241728446
950	0.2417096215
955	0.2416897449
960	0.2416693914
965	0.2416321206
970	0.2416034318
975	0.2415829468
980	0.2415524495
985	0.2415285285
990	0.2415073201
995	0.241483136
1000	0.2414480189
1005	0.241422684
1010	0.2414089232
1015	0.2413941267
1020	0.2413604728
1025	0.2413208839
1030	0.2412908634
1035	0.2412653641
1040	0.2412367574
1045	0.2411869589
1050	0.2411608019
1055	0.2411359602
1060	0.2411016652
1065	0.2410787634
1070	0.2410390101
1075	0.2409899514
1080	0.2409728203
1085	0.2409340205
1090	0.2409131245
1095	0.240871201
