feature,importance
PseudoTE_debt_to_income_ratio_by_employment_status,0.33725774
TE_orig_employment_status,0.28319466
employment_status-grade_subgrade,0.11336677
TE_row_mean,0.06285019
default_risk,0.027220085
debt_to_income_ratio_dec_digit_0,0.023541689
employment_status,0.016036108
TE_row_min,0.010528462
debt_to_income_ratio,0.010070543
TE_row_std,0.008491941
CE_employment_status,0.0075281314
employment_status-loan_purpose,0.0058085965
TE_orig_grade_subgrade,0.004873316
credit_score,0.004597274
debt_to_income_ratio_dec_digit_1,0.004085246
PseudoTE_interest_rate_by_grade_subgrade,0.0039365855
debt_to_income_ratio_dec_digit_2,0.0039204494
TE_row_max,0.002790059
PseudoTE_interest_rate_by_employment_status,0.0025638735
grade_subgrade,0.0020414703
loan_purpose-grade_subgrade,0.0019767033
CE_grade_subgrade,0.00164341
interest_rate_dec_digit_0,0.0016076548
loan_amount_uniform_binned,0.0016064594
TE_orig_annual_income_round_half,0.0015906568
interest_rate_dec_digit_1,0.0015479367
loan_amount_log_binned,0.001517254
loan_amount_round_half,0.0013919364
loan_amount_quantile_binned,0.0013216615
TE_orig_loan_amount_round_half,0.0013177347
loan_amount,0.0012974448
annual_income,0.0012957703
annual_income_int_digit_1,0.0012953647
annual_income_uniform_binned,0.0012946924
annual_income_log_binned,0.0012910442
annual_income_round_half,0.0012800221
interest_rate,0.0012750992
PseudoTE_debt_to_income_ratio_by_annual_income_round_half,0.0012673272
PseudoTE_debt_to_income_ratio_by_loan_purpose,0.001267073
employment_status-annual_income_round_half,0.0012661184
grade_subgrade-annual_income_round_half,0.001255448
PseudoTE_debt_to_income_ratio_by_loan_amount_round_half,0.0012526406
PseudoTE_debt_to_income_ratio_by_grade_subgrade,0.0012517498
employment_status-loan_amount_round_half,0.0012502915
PseudoTE_interest_rate_by_annual_income_round_half,0.0012502496
annual_income_quantile_binned,0.0012498632
grade_subgrade-loan_amount_round_half,0.0012471175
PseudoTE_interest_rate_by_loan_amount_round_half,0.0012466607
annual_income_int_digit_2,0.0012461666
loan_purpose-annual_income_round_half,0.001238019
loan_purpose-loan_amount_round_half,0.0012351952
loan_amount_int_digit_1,0.0012244395
annual_income_int_digit_3,0.0012206419
annual_income_int_digit_4,0.0012144821
interest_rate_int_digit_1,0.0012124857
loan_purpose,0.0012009636
annual_income_int_digit_5,0.001183598
PseudoTE_interest_rate_by_loan_purpose,0.001173146
TE_orig_loan_purpose,0.0011715464
loan_amount_int_digit_3,0.0011686333
CE_loan_purpose,0.001166723
loan_amount_dec_digit_0,0.0011624147
loan_amount_int_digit_2,0.0011622368
annual_income_dec_digit_0,0.0011606531
loan_amount_int_digit_4,0.0011591963
loan_amount_dec_digit_1,0.0011499559
annual_income_dec_digit_1,0.0011498843
annual_income_int_digit_0,0.0011476425
loan_amount_int_digit_0,0.0011365042
interest_rate_int_digit_0,0.0010774662
annual_income_dec_digit_2,0.0005937519
loan_amount_dec_digit_2,0.000385678
debt_to_income_ratio_dec_digit_3,0.0
annual_income_dec_digit_3,0.0
debt_to_income_ratio_int_digit_0,0.0
debt_to_income_ratio_dec_digit_4,0.0
interest_rate_dec_digit_2,0.0
loan_amount_dec_digit_3,0.0
