feature,importance
PseudoTE_debt_to_income_ratio_by_employment_status,0.3495174
TE_orig_employment_status,0.34025198
employment_status-grade_subgrade,0.10426537
TE_row_min,0.025178382
default_risk,0.025025448
employment_status,0.023895958
TE_row_mean,0.016098035
employment_status-loan_purpose,0.010186259
CE_employment_status,0.00866553
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_int_digit_0,0.008017669
PseudoTE_interest_rate_by_employment_status,0.006847809
debt_to_income_ratio,0.0051472606
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.004757734
credit_score,0.00454704
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_int_digit_1,0.004151062
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.00329252
debt_to_income_ratio_dec_digit_2,0.0031787888
TE_orig_grade_subgrade,0.003099896
TE_row_max,0.0029288759
debt_to_income_ratio_dec_digit_1,0.0029187263
debt_to_income_ratio_dec_digit_0,0.0024088162
TE_row_std,0.0022392166
annual_income_int_digit_0-debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.0022050415
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_int_digit_0,0.002154023
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_dec_digit_0,0.002025354
PseudoTE_interest_rate_by_grade_subgrade,0.0018043406
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_dec_digit_1,0.0017052976
loan_purpose-grade_subgrade,0.0016429971
annual_income_int_digit_1-debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.0016410159
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_1,0.0016284736
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_int_digit_1,0.0015929991
TE_orig_annual_income_round_half,0.0015493004
loan_amount_uniform_binned,0.0015443777
annual_income_int_digit_0-debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_1,0.0015363168
annual_income_int_digit_0-debt_to_income_ratio_dec_digit_1,0.0015355311
grade_subgrade,0.0014946728
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_dec_digit_1,0.0014911231
annual_income_dec_digit_0-debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.0014660985
annual_income_dec_digit_1-debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.0014615951
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_dec_digit_0,0.0014361469
debt_to_income_ratio_int_digit_0-interest_rate_dec_digit_0-interest_rate_dec_digit_1,0.0014014238
interest_rate_dec_digit_0-interest_rate_dec_digit_1,0.0013997244
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_int_digit_0,0.0013839796
loan_amount_log_binned,0.0013708464
debt_to_income_ratio_dec_digit_1-loan_amount_int_digit_0,0.0013648791
annual_income_log_binned,0.0013292241
interest_rate_int_digit_0-interest_rate_dec_digit_0-interest_rate_dec_digit_1,0.0013096875
loan_amount_quantile_binned,0.0013085355
annual_income_round_half,0.0013081151
loan_amount_round_half,0.0012890879
