feature,importance
TE_orig_employment_status,2141380.2739847624
TE_row_min,2026413.524998165
TE_row_std,1275195.1738334228
employment_status_annual_income_mean,1109727.1109014177
debt_to_income_ratio,877791.7205959067
default_risk,862065.9543719832
CE_employment_status,744965.0113546249
debt_to_income_ratio_dec_digit_0,685440.5101258376
employment_status_annual_income_median,498193.79306898266
credit_score,406941.07066415047
employment_status,311397.3946932425
TE_row_max,292611.88921050646
TE_row_mean,289130.4049578456
TE_orig_grade_subgrade,273109.67121105565
debt_to_income_ratio_dec_digit_1,96460.53058110943
employment_status_count_ratio,93777.71615054012
debt_to_income_ratio_dec_digit_2,88417.96351798007
CE_grade_subgrade,58893.02826089362
grade_subgrade,56680.753288933876
interest_rate_dec_digit_0_interest_rate_dec_digit_1,38512.58075301633
loan_amount_uniform_binned,33928.97201113923
interest_rate,26042.87025407015
loan_amount_log_binned,26041.998467172347
grade_subgrade_loan_amount_std,25859.305679607805
loan_amount_round_half,21304.223797872553
grade_subgrade_loan_amount_mean,20048.26368775011
annual_income,18396.228725969857
interest_rate_int_digit_1_interest_rate_dec_digit_0,18384.259339524255
interest_rate_int_digit_0_interest_rate_int_digit_1,17601.975510058932
grade_subgrade_count_ratio,15450.175487501856
loan_amount_quantile_binned,15252.536110219144
loan_amount,13592.55206834942
annual_income_round_half,12902.410571976468
interest_rate_int_digit_1_interest_rate_dec_digit_1,12503.868908985325
annual_income_log_binned,10405.003030604585
interest_rate_int_digit_1_interest_rate_dec_digit_2,9473.672201648256
loan_purpose,9324.618047441352
annual_income_uniform_binned,7982.880397517391
interest_rate_dec_digit_0_interest_rate_dec_digit_2,7583.4567791483805
interest_rate_dec_digit_1_interest_rate_dec_digit_2,6774.031456056177
annual_income_quantile_binned,6683.065385159341
annual_income_int_digit_3,6634.120795167699
interest_rate_int_digit_0_interest_rate_dec_digit_1,6275.6607731656
loan_amount_int_digit_1,6078.168068355126
interest_rate_int_digit_0_interest_rate_dec_digit_0,6030.513877436415
annual_income_int_digit_2,5259.687691407712
annual_income_int_digit_1,5236.910814732453
interest_rate_int_digit_1,5236.056602493614
loan_amount_dec_digit_0,4864.777561782141
annual_income_int_digit_5,4812.8862710628655
loan_amount_int_digit_3,4693.421560682164
annual_income_dec_digit_1,3325.9337538511218
interest_rate_int_digit_0_interest_rate_dec_digit_2,3204.004552800895
annual_income_int_digit_4,3174.269288762825
interest_rate_dec_digit_1,2957.495483815378
interest_rate_dec_digit_0,2764.1922109198617
annual_income_dec_digit_0,2054.963354918627
loan_amount_dec_digit_1,2047.9684664015433
loan_amount_int_digit_4,2033.7108386083157
loan_amount_int_digit_2,1834.803186816429
loan_purpose_count_ratio,1750.7711813382953
TE_orig_loan_purpose,1575.581537987176
CE_loan_purpose,1033.2627254130434
loan_amount_int_digit_0,583.8609583602753
interest_rate_int_digit_0,288.2929647684097
annual_income_int_digit_0,96.39799354933203
debt_to_income_ratio_dec_digit_4,0.0
debt_to_income_ratio_dec_digit_3,0.0
debt_to_income_ratio_int_digit_0,0.0
annual_income_dec_digit_2,0.0
annual_income_dec_digit_3,0.0
interest_rate_dec_digit_2,0.0
loan_amount_dec_digit_3,0.0
loan_amount_dec_digit_2,0.0
