feature,importance
PseudoTE_debt_to_income_ratio_by_employment_status,0.29581252
TE_orig_employment_status,0.22786912
employment_status-grade_subgrade,0.08836276
employment_status,0.0683589
default_risk,0.0343106
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_int_digit_1,0.016779369
PseudoTE_interest_rate_by_employment_status,0.016424125
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_int_digit_0,0.0109183695
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.010135353
TE_row_mean,0.008927284
employment_status-loan_purpose,0.008506438
CE_employment_status,0.006357304
debt_to_income_ratio,0.006006473
TE_orig_grade_subgrade,0.004902953
TE_row_std,0.0043599866
TE_row_min,0.0039826343
credit_score,0.0037968163
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.0037550987
annual_income_int_digit_0-debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.0035614453
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_dec_digit_0,0.0034873928
PseudoTE_interest_rate_by_grade_subgrade,0.0029719137
debt_to_income_ratio_dec_digit_1,0.0028955538
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_int_digit_0,0.0027097086
annual_income_int_digit_1-debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.0025103823
debt_to_income_ratio_dec_digit_2,0.0023165136
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_dec_digit_1,0.0022563147
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_dec_digit_1,0.002080909
employment_status-loan_amount_round_half,0.001991955
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_1,0.0018697402
loan_purpose-grade_subgrade,0.0018069015
annual_income_int_digit_0-debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_1,0.0016652572
loan_amount_uniform_binned,0.0016233806
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_int_digit_1,0.0016232822
annual_income_int_digit_0-debt_to_income_ratio_dec_digit_1,0.0015519047
annual_income_dec_digit_1-debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.0015105756
annual_income_dec_digit_0-debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.0014534518
grade_subgrade,0.0013537612
TE_orig_annual_income_round_half,0.0013276859
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_dec_digit_0,0.0012771065
loan_amount_log_binned,0.0012615258
debt_to_income_ratio_dec_digit_0,0.0012068944
interest_rate_dec_digit_0-interest_rate_dec_digit_1,0.0011883414
debt_to_income_ratio_int_digit_0-interest_rate_dec_digit_0-interest_rate_dec_digit_1,0.0011835541
CE_grade_subgrade,0.0011718592
loan_amount_round_half,0.0011597995
loan_amount_quantile_binned,0.0011095243
debt_to_income_ratio_dec_digit_1-loan_amount_int_digit_0,0.001071969
annual_income_round_half,0.0010614066
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_int_digit_0,0.0010522722
annual_income_log_binned,0.0010345808
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_int_digit_0,0.0010061989
interest_rate_int_digit_0-interest_rate_dec_digit_0-interest_rate_dec_digit_1,0.001002612
annual_income_int_digit_0-interest_rate_dec_digit_0-interest_rate_dec_digit_1,0.0009844757
annual_income_quantile_binned,0.0009775792
annual_income_uniform_binned,0.0009655811
TE_orig_loan_amount_round_half,0.0009438468
debt_to_income_ratio_dec_digit_1-interest_rate_int_digit_0,0.0009364208
TE_row_max,0.0009124767
loan_amount_dec_digit_0-interest_rate_dec_digit_0-interest_rate_dec_digit_1,0.00090369704
PseudoTE_debt_to_income_ratio_by_loan_purpose,0.0008992596
annual_income_int_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_int_digit_0,0.00089789054
debt_to_income_ratio_dec_digit_0-interest_rate_int_digit_0-interest_rate_int_digit_1,0.0008954806
annual_income_int_digit_0-debt_to_income_ratio_dec_digit_0,0.0008953266
annual_income_int_digit_0-debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_0,0.00089509645
debt_to_income_ratio_int_digit_0-interest_rate_int_digit_0-interest_rate_int_digit_1,0.0008892451
loan_amount_int_digit_0-interest_rate_dec_digit_0-interest_rate_dec_digit_1,0.0008852226
annual_income_dec_digit_1-debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_1,0.00088415586
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_dec_digit_0,0.0008799656
debt_to_income_ratio_dec_digit_1-loan_amount_dec_digit_0,0.00087435823
employment_status-annual_income_round_half,0.0008719121
annual_income_int_digit_0-debt_to_income_ratio_dec_digit_0-interest_rate_int_digit_0,0.0008713063
debt_to_income_ratio_dec_digit_0-loan_amount_int_digit_0-loan_amount_int_digit_1,0.00086930423
debt_to_income_ratio_dec_digit_1-loan_amount_dec_digit_1,0.00086911925
annual_income_int_digit_0-loan_amount_int_digit_0-loan_amount_int_digit_1,0.0008663389
debt_to_income_ratio_int_digit_0-loan_amount_int_digit_0-loan_amount_int_digit_1,0.0008617635
debt_to_income_ratio_dec_digit_0-interest_rate_dec_digit_0-interest_rate_dec_digit_1,0.0008602906
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_0-interest_rate_dec_digit_0,0.0008582728
annual_income_dec_digit_0-interest_rate_int_digit_0-interest_rate_int_digit_1,0.0008555713
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_0-interest_rate_int_digit_1,0.00085545675
interest_rate_int_digit_0-interest_rate_int_digit_1,0.000855334
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_dec_digit_1,0.0008537853
debt_to_income_ratio_dec_digit_0-interest_rate_int_digit_0,0.0008525592
loan_amount_int_digit_1-interest_rate_dec_digit_0-interest_rate_dec_digit_1,0.0008508729
annual_income_dec_digit_1-debt_to_income_ratio_dec_digit_1,0.00084984006
annual_income_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.00084605004
annual_income_int_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_int_digit_0,0.00084356463
loan_amount_int_digit_0-loan_amount_int_digit_1-loan_amount_dec_digit_1,0.0008400552
annual_income_int_digit_1-interest_rate_dec_digit_0-interest_rate_dec_digit_1,0.0008391994
annual_income_dec_digit_0-debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_1,0.0008384525
loan_amount_int_digit_0-loan_amount_int_digit_1,0.00083490985
annual_income_int_digit_1-annual_income_dec_digit_0-debt_to_income_ratio_dec_digit_0,0.00083486753
loan_amount_int_digit_1-interest_rate_int_digit_0-interest_rate_int_digit_1,0.0008345636
loan_amount_int_digit_0-loan_amount_int_digit_1-interest_rate_dec_digit_1,0.0008334763
loan_purpose-loan_amount_round_half,0.0008290623
debt_to_income_ratio_dec_digit_1-interest_rate_dec_digit_0-interest_rate_dec_digit_1,0.0008286834
annual_income_int_digit_0-debt_to_income_ratio_dec_digit_0-interest_rate_dec_digit_0,0.0008274149
debt_to_income_ratio_dec_digit_0-interest_rate_dec_digit_0,0.0008269188
annual_income_dec_digit_1-debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_0,0.0008259762
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_0-interest_rate_dec_digit_1,0.00082552835
annual_income_int_digit_0-annual_income_dec_digit_1-debt_to_income_ratio_dec_digit_1,0.000825492
debt_to_income_ratio_dec_digit_0-loan_amount_int_digit_0-interest_rate_int_digit_1,0.0008228232
debt_to_income_ratio_dec_digit_0-interest_rate_int_digit_1,0.00082238036
annual_income_dec_digit_1-debt_to_income_ratio_dec_digit_0-loan_amount_dec_digit_1,0.0008223476
annual_income,0.0008209582
annual_income_int_digit_1-debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_0,0.00082025706
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_0-loan_amount_int_digit_0,0.0008198832
annual_income_int_digit_1-debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_1,0.0008195966
annual_income_dec_digit_0-debt_to_income_ratio_dec_digit_0-interest_rate_dec_digit_0,0.00081917894
annual_income_int_digit_0-debt_to_income_ratio_dec_digit_0-interest_rate_int_digit_1,0.0008190357
annual_income_int_digit_0-interest_rate_int_digit_0-interest_rate_int_digit_1,0.000818975
annual_income_int_digit_0-debt_to_income_ratio_dec_digit_0-loan_amount_int_digit_0,0.000818645
loan_amount_int_digit_0-loan_amount_int_digit_1-interest_rate_int_digit_0,0.00081745535
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_dec_digit_0,0.00081686385
annual_income_dec_digit_1-debt_to_income_ratio_dec_digit_0-interest_rate_dec_digit_0,0.0008165447
annual_income_dec_digit_0-debt_to_income_ratio_dec_digit_0-interest_rate_int_digit_0,0.0008163159
annual_income_dec_digit_0-debt_to_income_ratio_dec_digit_0-loan_amount_int_digit_1,0.0008154912
annual_income_dec_digit_0-debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_0,0.0008150904
annual_income_int_digit_1-annual_income_dec_digit_1-debt_to_income_ratio_dec_digit_0,0.00081441784
annual_income_int_digit_0-debt_to_income_ratio_dec_digit_1-loan_amount_dec_digit_0,0.0008131387
