feature,importance
TE_row_min,2011542.1079857342
employment_status_annual_income_mean,1590512.9495636774
TE_row_std,1462418.940785015
TE_orig_employment_status,1183531.704143624
default_risk,956770.9537660575
employment_status,941847.3729262908
debt_to_income_ratio,841395.7535374013
TE_row_max,627905.8526066714
employment_status_annual_income_median,540134.4170962095
TE_row_mean,499125.43005906994
employment_status_count_ratio,329682.8930715214
credit_score,291811.5911353404
CE_employment_status,244745.46014690847
debt_to_income_ratio_dec_digit_0,204445.98705318134
grade_subgrade,149440.70620901595
TE_orig_grade_subgrade,127685.50717675565
debt_to_income_ratio_dec_digit_1,84779.78862606958
debt_to_income_ratio_dec_digit_2,58440.02445715619
loan_amount_uniform_binned,39979.454909881846
grade_subgrade_count_ratio,36560.334338708926
CE_grade_subgrade,32806.00393344756
interest_rate_dec_digit_0_interest_rate_dec_digit_1,30763.697459720854
interest_rate_int_digit_0_interest_rate_int_digit_1,24717.50692534534
interest_rate_int_digit_1_interest_rate_dec_digit_0,22943.836558313393
interest_rate_int_digit_1_interest_rate_dec_digit_1,20866.781711304688
grade_subgrade_loan_amount_std,20033.57802143304
interest_rate,19108.4344504965
loan_amount,18507.08315880696
grade_subgrade_loan_amount_mean,17629.405496895764
interest_rate_int_digit_1,17349.662480218667
loan_amount_quantile_binned,16210.65572368629
annual_income,15930.28641059543
annual_income_uniform_binned,14964.245452486817
annual_income_quantile_binned,14687.003649843551
interest_rate_int_digit_1_interest_rate_dec_digit_2,11051.89578284345
annual_income_int_digit_3,7723.611326377421
interest_rate_int_digit_0_interest_rate_dec_digit_1,7238.085152819719
annual_income_int_digit_2,7040.540896101798
loan_amount_int_digit_2,7028.411663646312
loan_amount_int_digit_4,6857.528111668277
loan_amount_dec_digit_1,6230.677709466856
annual_income_int_digit_1,6228.959076677633
annual_income_int_digit_5,5987.605394577576
interest_rate_dec_digit_0_interest_rate_dec_digit_2,5961.813332695
loan_purpose,5637.383156293586
loan_amount_int_digit_1,5448.8479233928465
interest_rate_int_digit_0_interest_rate_dec_digit_0,5404.044584628883
annual_income_int_digit_4,5336.166784244517
annual_income_dec_digit_1,5225.2649660360385
interest_rate_dec_digit_1,4765.03533511778
annual_income_dec_digit_0,4268.223213381018
loan_amount_dec_digit_0,4156.939097735647
loan_amount_int_digit_3,4019.60709897771
interest_rate_dec_digit_0,3563.2256202604062
interest_rate_dec_digit_1_interest_rate_dec_digit_2,3322.205275722715
loan_amount_int_digit_0,3192.248756454501
TE_orig_loan_purpose,3160.8375975528793
interest_rate_int_digit_0,2435.9988499484957
interest_rate_int_digit_0_interest_rate_dec_digit_2,2383.708103702543
CE_loan_purpose,1599.04080183389
debt_to_income_ratio_dec_digit_3,1273.2743818812073
loan_purpose_count_ratio,1023.456481584534
annual_income_int_digit_0,925.8337840831413
annual_income_dec_digit_2,486.1973006058368
loan_amount_dec_digit_2,483.2980137761682
loan_amount_dec_digit_3,299.6795093819499
annual_income_dec_digit_3,261.5700128654018
debt_to_income_ratio_dec_digit_4,186.9630116235465
interest_rate_dec_digit_2,35.82769589424133
debt_to_income_ratio_int_digit_0,22.43807793855667
